t,u,v,w,p,q,r,xf,yf,zf,e0,ex,ey,ez,thr1 commanded,thr2 commanded,thr3 commanded,thr4 commanded,thr1 actual,thr2 actual,thr3 actual,thr4 actual
   0.3666672999991626E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.4000001999986238E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.4463854999986238E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.4666676999984585E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.5000000999979332E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.5333335999982747E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.5666676999986301E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.6000003999990423E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.7299741999990423E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.7593731999990423E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.7692337999990423E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.7810254999990422E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.7811338999990423E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.8000000999989457E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.8333343999992031E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
